,t,p,v,q,pwm,fa,hover_throttle,T_sp
20,1758984371.3331203,"[0.00015999015073633202, 1.7090209520119993e-16, 0.911632421118377]","[2.6570641968700865e-15, 4.465210107666298e-16, -2.0684433816341068e-15]","[1.0, -8.152464249164017e-18, 3.0336577720875715e-16, -1.5025489878922834e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.9538859029692928e-15, 1.4058593948584938e-16, -52.11898076898158]",0.5,[28.014357968981578]
21,1758984371.3382049,"[0.00015999015073634543, 1.7313904202913237e-16, 0.911632421118377]","[2.686049137928544e-15, 4.473893655864889e-16, -2.0684433816341068e-15]","[1.0, -6.901388465967025e-18, 2.9967272532492337e-16, -1.4934996657394338e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.1078743677074464e-15, 1.4853245122524542e-16, -52.11898076898158]",0.5,[28.014357968981578]
22,1758984371.3432875,"[0.00015999015073635901, 1.7537910543943545e-16, 0.911632421118377]","[2.715260299633229e-15, 4.480126820606189e-16, -2.0684433816341068e-15]","[1.0, -5.6445305512325176e-18, 2.959784796908269e-16, -1.4844503435842836e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.09534773067881e-15, 1.371343923288632e-16, -52.11898076898158]",0.5,[28.014357968981578]
23,1758984371.348375,"[0.00015999015073637273, 1.7762176152456838e-16, 0.911632421118377]","[2.7431782263904723e-15, 4.485312170265877e-16, -2.0684433816341068e-15]","[1.0, -4.3838895250479846e-18, 2.9217161840316673e-16, -1.4754010214269468e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.2319992780978245e-15, 1.3676260252106737e-16, -52.11898076898158]",0.5,[28.014357968981578]
24,1758984371.3534725,"[0.00015999015073638658, 1.7986656397779365e-16, 0.911632421118377]","[2.7713122698948137e-15, 4.489604906450553e-16, -2.0684433816341068e-15]","[1.0, -3.1231675617827157e-18, 2.883542897748813e-16, -1.4663516992675319e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.218162022388608e-15, 1.4601368476441047e-16, -52.11898076898158]",0.5,[28.014357968981578]
25,1758984371.358576,"[0.00015999015073640057, 1.8211263430013903e-16, 0.911632421118377]","[2.7983919397163747e-15, 4.49214064469079e-16, -2.0684433816341068e-15]","[1.0, -1.8567775494952454e-18, 2.8441384707047807e-16, -1.4573023771061415e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.3109124935672604e-15, 1.4736197841694734e-16, -52.11898076898158]",0.5,[28.014357968981578]
26,1758984371.3636718,"[0.0001599901507364147, 1.843597620423392e-16, 0.911632421118377]","[2.8265595740892238e-15, 4.494255484400335e-16, -2.0684433816341068e-15]","[1.0, -5.935481835334526e-19, 2.8057536578083736e-16, -1.4482530549428735e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.108913959893499e-15, 1.658553084600005e-16, -52.11898076898158]",0.5,[28.014357968981578]
27,1758984371.3687792,"[0.00015999015073642895, 1.866071470103912e-16, 0.911632421118377]","[2.853965273536234e-15, 4.4947699361039835e-16, -2.0684433816341068e-15]","[1.0, 6.70403377042644e-19, 2.7673843677470937e-16, -1.4392037327778209e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.0416482878513242e-15, 1.756495394227599e-16, -52.11898076898158]",0.5,[28.014357968981578]
28,1758984371.373909,"[0.00015999015073644334, 1.8885426112195224e-16, 0.911632421118377]","[2.8807177664244986e-15, 4.49422822312211e-16, -2.0684433816341068e-15]","[1.0, 1.933103080337299e-18, 2.7287714756289793e-16, -1.430154410611072e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.051032669501858e-15, 1.8898144247094088e-16, -52.11898076898158]",0.5,[28.014357968981578]
29,1758984371.3790212,"[0.00015999015073645787, 1.9110057698888722e-16, 0.911632421118377]","[2.9063511388537143e-15, 4.492631733869931e-16, -2.0684433816341068e-15]","[1.0, 3.1925767281766126e-18, 2.688983636157611e-16, -1.4211050884427109e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-2.1476763195437143e-15, 2.0444641254774936e-16, -52.11898076898158]",0.5,[28.014357968981578]
